"FID_","z","area_m2","GridNum","cent_x","cent_y"
,1,156421.185737,1,417534.458526,4308478.978400
,1,134886.532016,2,417746.491148,4306924.777070
,1,1514426.669820,3,464157.670336,4224863.969230
,1,173506.891083,4,417943.513728,4305656.580260
,1,966536.763369,5,460671.604786,4222160.536330
,1,276322.324544,6,418306.478642,4304335.306680
,1,1042844.774210,7,457732.084014,4219958.177330
,1,266572.266507,8,429196.038203,4312515.403400
,1,398025.417184,9,418839.710675,4303092.876110
,1,1248207.424300,10,454485.744741,4217243.767840
,1,359463.787426,11,428082.086929,4310312.558360
,1,323438.658745,12,419370.689934,4301715.513880
,1,578192.157201,13,451759.401823,4215763.912470
,1,620028.578886,14,427835.684553,4306838.636750
,1,276541.619966,15,419594.051283,4300213.015090
,1,298786.763009,16,449667.430730,4214557.256340
,1,487828.275735,17,427496.437807,4303612.000430
,1,421904.652556,18,420053.792161,4299192.144140
,1,245968.943877,19,448010.387907,4213842.880130
,1,614457.628939,20,426614.368693,4301410.139410
,1,231388.096844,21,421052.857323,4298278.232060
,1,69706103.456200,22,473910.754303,4035654.483750
,1,63782195.433200,23,473071.374179,4046812.488030
,1,57373787.856700,24,472429.294907,4057924.545890
,1,52208758.861500,25,472396.582871,4068966.850860
,1,53304436.966500,26,473159.096072,4080098.212770
,1,44193380.847800,27,474311.990040,4091387.418020
,1,50073432.011100,28,475661.643338,4101575.521910
,1,51517842.954100,29,477475.071192,4112007.020550
,1,55429208.027800,30,479811.175437,4122544.198740
,1,59267784.262700,31,482587.671460,4133156.839470
,1,61328715.743700,32,485461.508518,4143871.574980
,1,61509106.538900,33,488403.060753,4154728.968550
,1,169152.198248,34,446450.865385,4214097.358770
,1,552953.047178,35,425952.418176,4299457.050040
,1,137129.204579,36,421688.950329,4297342.418800
,1,71895986.603400,37,467785.822689,4034083.084800
,1,66957485.560800,38,467359.064280,4045622.464130
,1,61467441.406600,39,467179.934116,4057099.031530
,1,52663999.148300,40,467433.000445,4068133.198780
,1,58561883.408500,41,468480.750932,4079561.448810
,1,51103199.667100,42,469698.336570,4091126.286300
,1,52949714.019700,43,470880.065900,4101919.242110
,1,54588694.638000,44,472605.743841,4112736.096820
,1,57561367.853100,45,474776.334313,4123555.473980
,1,60574418.676000,46,477365.658778,4134420.067900
,1,62753112.381900,47,480183.162041,4145371.747500
,1,64063763.474000,48,483154.280608,4156434.434570
,1,175292.441036,49,445854.478679,4213206.133540
,1,918471.275382,50,423713.034341,4297052.712540
,1,114564.686694,51,421648.873904,4296555.801330
,1,75074783.684600,52,461600.594705,4032495.208960
,1,70784550.331600,53,461485.879638,4044398.649930
,1,65788683.087400,54,461697.118321,4056232.473780
,1,50992201.155000,55,462418.866112,4067292.732990
,1,57753923.393300,56,463790.335236,4079172.211680
,1,52846988.736800,57,464971.005603,4091143.651210
,1,55429725.163600,58,466002.916474,4102266.405480
,1,57352717.041500,59,467612.285487,4113423.932320
,1,59930792.028300,60,469625.933508,4124528.163750
,1,62453210.308400,61,472079.423052,4135622.434610
,1,64426969.642800,62,474850.074669,4146806.415210
,1,65806920.934900,63,477822.681496,4158118.180950
,1,322977.733513,64,444986.690667,4211692.374210
,1,3305907.992600,65,444022.123121,4244041.608080
,1,552423.519550,66,420580.627556,4295146.646380
,1,531210.699038,67,420439.965531,4295263.328720
,1,521494.717994,68,420349.669602,4295406.502400
,1,78279710.510900,69,455305.294887,4030898.146110
,1,74953113.670000,70,455417.748819,4043141.369260
,1,70586336.509900,71,455971.793821,4055312.656170
,1,55825994.203900,72,457254.143647,4066673.007670
,1,73092897.775900,73,458781.737083,4078824.903120
,1,60294216.813300,74,459918.138483,4091012.369320
,1,57408450.346300,75,461060.691513,4102611.562970
,1,60226690.260100,76,462508.347432,4114102.752500
,1,62527902.193800,77,464344.392209,4125473.139520
,1,64514086.556500,78,466695.777181,4136771.238340
,1,66347850.529300,79,469451.610434,4148173.672600
,1,67886617.802500,80,472463.145033,4159764.415390
,1,254504.866116,81,443466.962904,4211431.112660
,1,2725157.499480,82,438142.917932,4243556.094930
,1,533033.209912,83,417750.740921,4293313.954970
,1,517080.991659,84,417618.431717,4293437.742020
,1,530537.329542,85,417425.603707,4293522.682340
,1,80835317.027300,86,448919.178303,4029328.501460
,1,79657017.164300,87,449119.494612,4041834.239670
,1,76441032.922700,88,449959.058746,4054315.575990
,1,58815436.656200,89,451596.708210,4065828.042790
,1,75408447.808900,90,453333.350648,4077991.722180
,1,57429317.606100,91,454844.083905,4091150.689380
,1,58787421.769100,92,456094.074688,4102939.590090
,1,63459412.783800,93,457292.492189,4114802.733240
,1,65517842.253700,94,458899.480191,4126424.802130
,1,66912859.521500,95,461179.432192,4137866.141270
,1,68636175.823000,96,463959.835022,4149449.726840
,1,70195938.313200,97,467064.662472,4161321.835870
,1,270553.573686,98,442239.808999,4210680.455420
,1,2279850.543680,99,434471.666517,4241477.364650
,1,644151.492808,100,415301.660924,4291538.964520
,1,850303.022404,101,414936.770812,4291508.315300
,1,735572.410522,102,414863.566150,4291725.932350
,1,81495777.088800,103,442525.937779,4027862.644670
,1,85026173.296500,104,442524.219326,4040481.315440
,1,84835263.357200,105,443520.939710,4053179.064430
,1,59768258.544100,106,445584.176721,4064702.404580
,1,80204740.247500,107,447990.521924,4077430.504830
,1,57222612.990600,108,449990.368447,4091219.611030
,1,59471490.640200,109,451149.417934,4103229.478820
,1,68008117.866900,110,451942.609745,4115569.577710
,1,69070841.557900,111,453222.598356,4127438.015230
,1,69434508.795300,112,455477.234596,4138895.756050
,1,70932613.522300,113,458343.000379,4150600.501080
,1,73584003.010000,114,461602.421673,4162774.801710
,1,877072.752324,115,443952.543450,4208152.718110
,1,1729750.139930,116,433568.467201,4239227.771950
,1,807482.640878,117,412638.026176,4288318.491230
,1,993965.005145,118,412542.629561,4288642.801950
,1,983573.162975,119,412205.662630,4288547.721970
,1,82005446.154200,120,436150.537570,4026546.898260
,1,91458372.848200,121,435506.873855,4039070.769930
,1,97422468.417100,122,436340.947934,4051768.367770
,1,73262989.020100,123,438869.211585,4063580.230860
,1,90209122.067600,124,442511.619150,4076865.557440
,1,55576726.198100,125,445244.973689,4091287.223010
,1,58558732.458500,126,446301.120635,4103421.913560
,1,76425935.630300,127,446371.481591,4116558.027440
,1,73710223.070500,128,447150.726341,4128626.909330
,1,71941283.252400,129,449518.676396,4139844.516640
,1,72921147.379500,130,452570.890832,4151566.475900
,1,79313583.727500,131,455993.009857,4164092.191240
,1,2599482.577780,132,444201.486046,4204131.648280
,1,1020570.092080,133,432667.546605,4236829.459880
,1,1125822.184200,134,412857.998902,4285411.289440
,1,1065662.149050,135,412626.039070,4285244.105770
,1,1129232.983160,136,412261.196423,4285311.691400
,1,6912442.490900,137,402590.002459,4305090.698170
,1,83802207.703400,138,429612.778465,4025458.876250
,1,100090433.782000,139,427846.205988,4037605.852610
,1,121041370.054000,140,427387.068755,4049726.895750
,1,108395396.414000,141,430336.881501,4061334.005160
,1,91453097.266000,142,436929.605115,4076705.710930
,1,52319236.102400,143,440676.620804,4091359.916170
,1,55554178.289300,144,441653.231847,4103430.038290
,1,102575769.857000,145,440043.361977,4118408.753180
,1,81934941.674200,146,440092.530017,4130396.342440
,1,75396929.739000,147,443133.337255,4140659.642920
,1,72806799.666500,148,446631.283174,4152230.642180
,1,88471968.675700,149,450124.332954,4165188.618360
,1,8134365.073160,150,440784.938564,4201538.281410
,1,1061838.860490,151,430742.371679,4235157.709710
,1,1051698.593590,152,415553.699097,4282398.662690
,1,1286442.295690,153,415477.685871,4282136.472910
,1,1253280.313510,154,415370.988054,4281857.003940
,1,4476350.894430,155,402534.942957,4295026.136750
,1,8371386.047610,156,399820.273696,4305105.459170
,1,1083340.022500,157,406581.579643,4324247.896680
,1,119339.322473,158,411982.940347,4334861.278250
,1,71406724.338900,159,424381.964927,4061873.466070
,1,69145405.277600,160,432454.757721,4077465.730340
,1,49699704.306900,161,436258.786732,4091265.839450
,1,48219464.138400,162,437363.564995,4103045.535690
,1,67275689.849000,163,435402.667191,4117229.699360
,1,8695155.971850,164,439122.860319,4193145.319230
,1,12644802.077900,165,437182.386373,4200735.059040
,1,2186067.948040,166,428564.939069,4233787.508200
,1,1593683.958050,167,416340.708718,4278336.012360
,1,1217948.584360,168,416141.701420,4278651.502010
,1,1305788.778140,169,415905.730148,4278836.798320
,1,2089074.364190,170,399509.897882,4292062.009530
,1,10273475.622100,171,397280.282627,4304463.736590
,1,1456141.927990,172,404621.894264,4325779.884840
,1,205616.153068,173,411336.308147,4335141.437050
,1,63608516.665800,174,421857.737584,4066394.951640
,1,65135934.641800,175,428424.571440,4078199.278980
,1,43357143.526400,176,432222.479403,4091351.871270
,1,40108996.392400,177,433475.250192,4102372.295080
,1,46607548.057000,178,432335.566016,4114510.912220
,1,22380232.309300,179,436412.127727,4190215.027630
,1,20146386.916200,180,435208.306996,4194681.638940
,1,15367070.653800,181,433705.956597,4198458.259440
,1,17076470.569300,182,431314.135427,4201235.287590
,1,458548.931617,183,430824.711086,4221432.519530
,1,700280.155177,184,431414.191435,4222840.073570
,1,5918728.434300,185,426738.705110,4229925.114620
,1,3204601.746820,186,425647.527736,4232624.115850
,1,2058429.687030,187,415085.613312,4274360.302100
,1,1899305.783010,188,414649.555818,4274452.851010
,1,1738932.197560,189,414272.354823,4274697.769380
,1,901917.526076,190,398541.082064,4291199.077210
,1,1091961.453640,191,397639.959725,4292441.523390
,1,1583814.595280,192,396641.387311,4295225.075930
,1,3093082.138720,193,396241.801874,4299672.654150
,1,3105788.982180,194,395723.586711,4303809.592830
,1,1281718.576830,195,395207.184915,4306937.206990
,1,2935333.061810,196,394847.400335,4308875.076560
,1,2553498.228140,197,394004.289527,4310229.682630
,1,2864458.665980,198,392925.810114,4311196.487160
,1,2720390.114680,199,402045.853274,4326186.171220
,1,575356.387225,200,410674.792914,4335498.316330
,1,30570181.189400,201,419773.084042,4070342.639350
,1,47743298.476000,202,425026.088944,4080459.420340
,1,42300342.403400,203,428319.772237,4091405.587050
,1,32867384.935200,204,429899.106798,4101663.402650
,1,33227677.975400,205,429577.171537,4111901.651880
,1,18097380.130600,206,432796.470766,4186661.417840
,1,18459624.334100,207,431835.506778,4191453.005800
,1,14287877.514200,208,430581.904656,4195527.419630
,1,11325908.386100,209,428832.774562,4199041.396510
,1,1861634.222230,210,432206.746252,4215839.714910
,1,888570.145690,211,429627.846018,4221432.793760
,1,562409.668486,212,429854.677832,4222710.672290
,1,5764245.170410,213,422966.200340,4229465.362870
,1,4481671.414100,214,422756.696689,4230726.749890
,1,5666089.030160,215,422824.800204,4232066.495000
,1,1750444.643440,216,413506.688566,4271140.148420
,1,1512798.760650,217,413193.215237,4271618.860850
,1,1202664.583050,218,412821.759589,4271996.382530
,1,804718.598650,219,398060.658614,4290766.927110
,1,934920.596982,220,397190.758305,4292156.524450
,1,2439879.234440,221,396114.791937,4295144.210720
,1,4936694.363000,222,395416.923859,4299272.071030
,1,5724038.769780,223,394709.070149,4303553.894480
,1,2813797.002940,224,394082.842272,4306373.247470
,1,3803364.514200,225,393366.216010,4307985.008390
,1,3509740.078740,226,392166.935318,4309341.979360
,1,3601242.623360,227,390601.650837,4310435.407750
,1,893358.135817,228,398883.203714,4316913.879990
,1,1188751.836290,229,398693.875920,4317860.807890
,1,1462867.815640,230,398353.055855,4319252.839890
,1,1608778.747880,231,398116.514885,4321477.474670
,1,2123560.209310,232,399074.254807,4324379.394690
,1,974624.863525,233,400610.415030,4326561.316380
,1,2300268.604240,234,402890.649397,4328406.023790
,1,2384983.587760,235,406842.131975,4331869.378840
,1,624386.010501,236,409450.628091,4334536.130300
,1,547853.459724,237,410219.974282,4335676.288720
,1,1013931.520910,238,409429.781183,4337531.218770
,1,705391.483545,239,409420.057029,4340270.417690
,1,26215212.809800,240,417998.985201,4072946.980870
,1,32455041.346000,241,421890.222861,4081862.162300
,1,34007329.114400,242,424772.651409,4091916.066520
,1,27314544.535900,243,426539.966985,4101102.249670
,1,22777833.758500,244,426962.596344,4109610.246940
,1,17173368.058700,245,429547.152335,4183507.858870
,1,14622023.364300,246,428986.024047,4188999.589300
,1,15048024.514800,247,427556.980245,4193627.816070
,1,9933271.391780,248,426507.968823,4197411.023130
,1,4050476.581670,249,430969.760176,4214304.108840
,1,1858825.339900,250,427586.237682,4220976.653990
,1,2053863.922210,251,427395.326975,4222283.411010
,1,1062972.266600,252,420400.513077,4229100.066720
,1,1113060.546100,253,420376.879633,4230279.879150
,1,1375634.283080,254,420300.809124,4231519.137420
,1,1134486.682780,255,420148.561010,4232656.066770
,1,1172555.951670,256,419731.105467,4233802.384530
,1,3595817.044520,257,420099.121306,4236737.321100
,1,3204996.163480,258,421677.172979,4240898.758860
,1,2246092.935030,259,423929.010104,4244666.899200
,1,2295757.193610,260,426148.764622,4248979.145040
,1,1946909.650690,261,427387.544680,4253234.832040
,1,848505.424285,262,429159.334387,4258324.405020
,1,934277.138672,263,431843.850136,4261757.969550
,1,956291.603331,264,437115.154167,4266024.726400
,1,603190.487630,265,445016.726061,4268802.117920
,1,302059.989890,266,449946.395663,4268066.632620
,1,2001282.764880,267,410688.401998,4269843.180370
,1,1651500.231890,268,410597.677795,4270358.901330
,1,1492136.947450,269,410496.985229,4270859.685600
,1,511598.266675,270,397620.723074,4290574.296960
,1,913403.253696,271,396750.879080,4291985.800480
,1,2480364.083970,272,395512.403633,4294873.265730
,1,4181095.303480,273,394476.226278,4298858.594970
,1,5679090.191800,274,393389.503185,4303004.227270
,1,3476737.424290,275,392368.363319,4305467.384480
,1,4346848.757900,276,391446.452678,4306834.032350
,1,5298056.068020,277,390040.526542,4308114.399050
,1,6221268.793090,278,388300.049431,4309398.034670
,1,389725.892852,279,398069.603750,4316454.176240
,1,671863.109976,280,397984.184721,4317475.340200
,1,1227359.189400,281,397646.757033,4318934.476630
,1,1434426.208380,282,397563.572925,4321191.536860
,1,1574695.057390,283,398755.551849,4324842.320220
,1,1071244.660430,284,400157.839862,4326996.714290
,1,2394307.186580,285,402323.952192,4328648.147260
,1,2235948.968840,286,406714.537270,4332295.342860
,1,604830.617959,287,409080.946874,4334743.518130
,1,453405.212951,288,409805.203511,4335808.457290
,1,1450465.083860,289,408871.286210,4337681.985270
,1,2028815.696650,290,409315.212321,4340609.608130
,1,1310827.607580,291,412091.796397,4342965.544050
,1,1059191.229500,292,414866.537490,4344137.577900
,1,956603.374252,293,417954.382425,4344133.509600
,1,470640.576443,294,420647.749213,4344210.725140
,1,306440.639336,295,423722.385126,4345046.650190
,1,97029.156181,296,425972.341253,4345555.761620
,1,22639406.742500,297,416428.386329,4075811.106830
,1,23500538.126800,298,419432.563761,4083824.642110
,1,29382232.650200,299,421670.134063,4092539.421640
,1,23548794.984700,300,423305.065361,4100779.901810
,1,20067326.331200,301,424323.850515,4108235.349450
,1,6336957.356070,302,426571.017482,4176058.882920
,1,5733730.356820,303,427513.056858,4182172.106970
,1,6495319.690220,304,427227.556004,4187522.798530
,1,7562482.265990,305,425513.498592,4192421.904630
,1,5045675.793660,306,424354.754574,4196175.831320
,1,16753940.762300,307,427247.131165,4212101.530620
,1,6758209.022640,308,424379.126182,4218365.284770
,1,5735638.324480,309,423956.889591,4219608.485970
,1,7577366.853790,310,423288.696457,4221105.132120
,1,1142227.271040,311,419448.806337,4228789.428090
,1,1213336.561610,312,419364.459661,4229891.037090
,1,1763547.470470,313,419186.724897,4231104.483560
,1,1391117.123030,314,419002.540624,4232336.418210
,1,1573623.309050,315,418764.942251,4233498.449120
,1,4227139.857470,316,419240.226415,4236634.585660
,1,3235898.380090,317,421010.233662,4241105.969600
,1,1974088.720860,318,423533.857268,4244960.038110
,1,1525288.441690,319,425678.853176,4248837.706040
,1,1090645.192830,320,427178.271500,4253624.056700
,1,827319.163158,321,429013.452655,4258442.569860
,1,1074718.624270,322,431896.690248,4262074.971930
,1,1299661.575800,323,436768.599257,4265924.571550
,1,2479332.239380,324,406891.708071,4270141.017750
,1,2880734.966410,325,406981.346099,4270865.206590
,1,2922850.122430,326,407008.442195,4271632.834030
,1,4784309.437010,327,407007.744221,4272593.019350
,1,361326.080946,328,397365.488997,4290391.996220
