"FID_","REG","FIRST_REG","huc","basin"
,"01","01","01","New England"
,"02","02","02","Mid Atlantic"
,"03","03","03","South Atlantic-Gulf"
,"04","04","04","Great Lakes"
,"05","05","05","Ohio"
,"06","06","06","Tennessee"
,"07","07","07","Upper Mississippi"
,"08","08","08","Lower Mississippi"
,"09","09","09","Souris-Red-Rainy"
,"10","10","10","Missouri"
,"11","11","11","Arkansas-White-Red"
,"12","12","12","Texas-Gulf"
,"13","13","13","Rio Grande"
,"14","14","14","Upper Colorado"
,"15","15","15","Lower Colorado"
,"16","16","16","Great Basin"
,"17","17","17","Pacific Northwest"
,"18","18","18","California"
