"FID_","AREA","PERIMETER","HUC250K_","HUC250K_ID","HUC_CODE","REG","SUB","ACC","CAT","huc","basin"
,2361499904.00000,323439.000000,2,2153,"17110002","17","1711","171100","17110002","17110002","Strait of Georgia"
,2011760000.00000,312847.000000,3,100121,"17110004","17","1711","171100","17110004","17110004","Nooksack"
,168823008.000000,60028.000000,4,2155,"17110001","17","1711","171100","17110001","17110001","Fraser"
,1996130048.00000,293107.000000,5,1,"17110021","17","1711","171100","17110021","17110021","Crescent-Hoko"
,1619040000.00000,184920.000000,6,2,"17110003","17","1711","171100","17110003","17110003","San Juan Islands"
,448199008.000000,162985.000000,7,2156,"17110001","17","1711","171100","17110001","17110001","Fraser"
,207367.000000,1929.810058,8,3,"17100101","17","1710","171001","17100101","17100101","Hoh-Quillayute"
,3101910016.00000,368764.000000,9,4,"17100101","17","1710","171001","17100101","17100101","Hoh-Quillayute"
,4147849984.00000,352376.000000,10,2143,"17110005","17","1711","171100","17110005","17110005","Upper Skagit"
,1677590016.00000,378673.000000,11,5,"17020007","17","1702","170200","17020007","17020007","Similkameen"
,224559.000000,2094.840087,12,6,"17100101","17","1710","171001","17100101","17100101","Hoh-Quillayute"
,4676290048.00000,390194.000000,13,7,"17020008","17","1702","170200","17020008","17020008","Methow"
,1147480064.00000,211343.000000,14,8,"17110007","17","1711","171100","17110007","17110007","Lower Skagit"
,6568240128.00000,744086.000000,15,9,"17110019","17","1711","171100","17110019","17110019","Puget Sound"
,4111610112.00000,391631.000000,16,10,"17020006","17","1702","170200","17020006","17020006","Okanogan"
,3254899968.00000,313023.000000,17,11,"17110020","17","1711","171100","17110020","17110020","Dungeness-Elwha"
,2456079872.00000,290811.000000,18,12,"17020002","17","1702","170200","17020002","17020002","Kettle"
,1771640064.00000,284262.000000,19,13,"17110008","17","1711","171100","17110008","17110008","Stillaguamish"
,1913430016.00000,242535.000000,20,14,"17110006","17","1711","171100","17110006","17110006","Sauk"
,2429440000.00000,316052.000000,21,15,"17020009","17","1702","170200","17020009","17020009","Lake Chelan"
,5546460160.00000,628527.000000,22,16,"17020001","17","1702","170200","17020001","17020001","Franklin D. Roosevelt Lake"
,2761440000.00000,308946.000000,23,17,"17020004","17","1702","170200","17020004","17020004","Sanpoil"
,2734340096.00000,310490.000000,24,18,"17010216","17","1701","170102","17010216","17010216","Pend Oreille"
,3067869952.00000,342361.000000,25,19,"17100102","17","1710","171001","17100102","17100102","Queets-Quinault"
,717740992.000000,174395.000000,26,20,"17110011","17","1711","171100","17110011","17110011","Snohomish"
,201217.000000,2307.879882,27,21,"17100101","17","1710","171001","17100101","17100101","Hoh-Quillayute"
,2482040064.00000,254152.000000,28,22,"17010215","17","1701","170102","17010215","17010215","Priest"
,2275369984.00000,265264.000000,29,23,"17010104","17","1701","170101","17010104","17010104","Lower Kootenai"
,2464389888.00000,315777.000000,30,24,"17110018","17","1711","171100","17110018","17110018","Hood Canal"
,531439008.000000,120107.000000,31,27,"17010105","17","1701","170101","17010105","17010105","Moyie"
,2189929984.00000,290120.000000,32,28,"17110009","17","1711","171100","17110009","17110009","Skykomish"
,3617370112.00000,418669.000000,33,29,"17020005","17","1702","170200","17020005","17020005","Chief Joseph"
,2629390080.00000,266957.000000,34,30,"17020003","17","1702","170200","17020003","17020003","Colville"
,1594710016.00000,207763.000000,35,31,"17010103","17","1701","170101","17010103","17010103","Yaak"
,3451239936.00000,314810.000000,36,32,"17020011","17","1702","170200","17020011","17020011","Wenatchee"
,1561400064.00000,284308.000000,37,33,"17110012","17","1711","171100","17110012","17110012","Lake Washington"
,3849280000.00000,555339.000000,38,34,"17020010","17","1702","170200","17020010","17020010","Upper Columbia-Entiat"
,5845559808.00000,503952.000000,39,35,"17010101","17","1701","170101","17010101","17010101","Upper Kootenai"
,631046976.000000,151102.000000,40,36,"17110017","17","1711","171100","17110017","17110017","Skokomish"
,2139820032.00000,256900.000000,41,37,"17100104","17","1710","171001","17100104","17100104","Lower Chehalis"
,1462460032.00000,245753.000000,42,38,"17100105","17","1710","171001","17100105","17100105","Grays Harbor"
,1787970048.00000,236641.000000,43,39,"17110010","17","1711","171100","17110010","17110010","Snoqualmie"
,2470030080.00000,255257.000000,44,40,"17010206","17","1701","170102","17010206","17010206","North Fork Flathead"
,3153280000.00000,344849.000000,45,41,"17010214","17","1701","170102","17010214","17010214","Pend Oreille Lake"
,475759008.000000,114125.000000,46,42,"10010001","10","1001","100100","10010001","10010001","Belly"
,5536000000.00000,833255.000000,47,43,"01010001","01","0101","010100","01010001","01010001","Upper St. John"
,1268889984.00000,197996.000000,48,44,"10010002","10","1001","100100","10010002","10010002","St. Mary"
,2311239936.00000,351151.000000,49,45,"01010003","01","0101","010100","01010003","01010003","Fish"
,1241539968.00000,276453.000000,50,46,"17110013","17","1711","171100","17110013","17110013","Duwamish"
,2109840000.00000,259138.000000,51,48,"17010210","17","1701","170102","17010210","17010210","Stillwater"
,1294130048.00000,211503.000000,52,49,"10050001","10","1005","100500","10050001","10050001","Milk Headwaters"
,2945090048.00000,403883.000000,53,2157,"17010207","17","1701","170102","17010207","17010207","Middle Fork Flathead"
,6222530048.00000,567286.000000,54,51,"01010004","01","0101","010100","01010004","01010004","Aroostook"
,343694016.000000,93524.703125,55,52,"10050002","10","1005","100500","10050002","10050002","Upper Milk"
,3160519936.00000,301705.000000,56,53,"10030202","10","1003","100302","10030202","10030202","Cut Bank"
,1545350016.00000,246016.000000,57,54,"17020014","17","1702","170200","17020014","17020014","Banks Lake"
,9336550400.00000,729861.000000,58,55,"10030203","10","1003","100302","10030203","10030203","Marias"
,30939300.000000,35834.300781,59,56,"10050002","10","1005","100500","10050002","10050002","Upper Milk"
,582201984.000000,176067.000000,60,57,"10050002","10","1005","100500","10050002","10050002","Upper Milk"
,2386560000.00000,261524.000000,61,58,"17020012","17","1702","170200","17020012","17020012","Moses Coulee"
,5543609856.00000,403681.000000,62,59,"17030001","17","1703","170300","17030001","17030001","Upper Yakima"
,6067680256.00000,563812.000000,63,60,"17010213","17","1701","170102","17010213","17010213","Lower Clark Fork"
,2349600000.00000,263501.000000,64,61,"17010307","17","1701","170103","17010307","17010307","Lower Spokane"
,1840720000.00000,227435.000000,65,62,"17010308","17","1701","170103","17010308","17010308","Little Spokane"
,2601400064.00000,226399.000000,66,63,"10030204","10","1003","100302","10030204","10030204","Willow"
,2841039872.00000,315061.000000,67,64,"17100106","17","1710","171001","17100106","17100106","Willapa Bay"
,2627190016.00000,275363.000000,68,65,"10050006","10","1005","100500","10050006","10050006","Sage"
,2163770112.00000,301843.000000,69,66,"17010102","17","1701","170101","17010102","17010102","Fisher"
,2566210048.00000,274544.000000,70,67,"17110014","17","1711","171100","17110014","17110014","Puyallup"
,1651820032.00000,206080.000000,71,68,"10050002","10","1005","100500","10050002","10050002","Upper Milk"
,4763160064.00000,378550.000000,72,69,"17020013","17","1702","170200","17020013","17020013","Upper Crab"
,3372999936.00000,324396.000000,73,70,"17100103","17","1710","171001","17100103","17100103","Upper Chehalis"
,218596000.000000,74139.203125,74,71,"10050003","10","1005","100500","10050003","10050003","Wild Horse Lake"
,3183229952.00000,338241.000000,75,72,"01010002","01","0101","010100","01010002","01010002","Allagash"
,623396992.000000,158082.000000,76,73,"10050007","10","1005","100500","10050007","10050007","Lodge"
,2958609920.00000,369409.000000,77,2158,"17010208","17","1701","170102","17010208","17010208","Flathead Lake"
,1856530048.00000,272734.000000,78,74,"17110015","17","1711","171100","17110015","17110015","Nisqually"
,1245670016.00000,183576.000000,79,75,"10050008","10","1005","100500","10050008","10050008","Battle"
,432532992.000000,153079.000000,80,76,"17110016","17","1711","171100","17110016","17110016","Deschutes"
,8668090368.00000,847007.000000,81,78,"10050004","10","1005","100500","10050004","10050004","Middle Milk"
,3355790080.00000,307745.000000,82,79,"10030201","10","1003","100302","10030201","10030201","Two Medicine"
,4350689792.00000,460385.000000,83,2159,"17010209","17","1701","170102","17010209","17010209","South Fork Flathead"
,1641190016.00000,264446.000000,84,80,"01010005","01","0101","010100","01010005","01010005","Meduxnekeag"
,2342459904.00000,276979.000000,85,81,"10050010","10","1005","100500","10050010","10050010","Cottonwood"
,2325509888.00000,237009.000000,86,83,"17010301","17","1701","170103","17010301","17010301","Upper Coeur D'alene"
,1392880000.00000,225468.000000,87,84,"10050011","10","1005","100500","10050011","10050011","Whitewater"
,1530950016.00000,205395.000000,88,85,"17010305","17","1701","170103","17010305","17010305","Upper Spokane"
,6452590080.00000,468530.000000,89,86,"17020015","17","1702","170200","17020015","17020015","Lower Crab"
,2897039872.00000,294249.000000,90,87,"17030002","17","1703","170300","17030002","17030002","Naches"
,5139030016.00000,488466.000000,91,2160,"17010212","17","1701","170102","17010212","17010212","Lower Flathead"
,733982016.000000,141357.000000,92,88,"10050013","10","1005","100500","10050013","10050013","Frenchman"
,2253509888.00000,227740.000000,93,89,"10050015","10","1005","100500","10050015","10050015","Rock"
,2192809984.00000,242152.000000,94,91,"10060004","10","1006","100600","10060004","10060004","West Fork Poplar"
,3033819904.00000,271376.000000,95,92,"09030009","09","0903","090300","09030009","09030009","Lake of the Woods"
,3410820096.00000,374178.000000,96,95,"10060003","10","1006","100600","10060003","10060003","Poplar"
,1902119936.00000,284343.000000,97,2161,"17010211","17","1701","170102","17010211","17010211","Swan"
,1811420032.00000,268256.000000,98,97,"17010306","17","1701","170103","17010306","17010306","Hangman"
,4425019904.00000,520066.000000,99,98,"10050012","10","1005","100500","10050012","10050012","Lower Milk"
,6526629888.00000,436793.000000,100,99,"10060006","10","1006","100600","10060006","10060006","Big Muddy"
,5965720064.00000,719983.000000,101,101,"17060108","17","1706","170601","17060108","17060108","Palouse"
,1669600000.00000,194991.000000,102,102,"17010303","17","1701","170103","17010303","17010303","Coeur D'alene Lake"
,2647539968.00000,279726.000000,103,103,"17080004","17","1708","170800","17080004","17080004","Upper Cowlitz"
,1901799936.00000,215297.000000,104,104,"10050016","10","1005","100500","10050016","10050016","Porcupine"
,2182210048.00000,275023.000000,105,105,"10050005","10","1005","100500","10050005","10050005","Big Sandy"
,1818899968.00000,232966.000000,106,106,"10060007","10","1006","100600","10060007","10060007","Brush Lake closed basin"
,1733100032.00000,235172.000000,107,2162,"17080006","17","1708","170800","17080006","17080006","Lower Columbia"
,3771510016.00000,301850.000000,108,107,"17080005","17","1708","170800","17080005","17080005","Lower Cowlitz"
,3050200064.00000,331782.000000,109,108,"09010001","09","0901","090100","09010001","09010001","Upper Souris"
,2703000064.00000,349365.000000,110,109,"09010002","09","0901","090100","09010002","09010002","Des Lacs"
,2471739904.00000,294491.000000,111,110,"17060109","17","1706","170601","17060109","17060109","Rock"
,2904989952.00000,416212.000000,112,111,"09010001","09","0901","090100","09010001","09010001","Upper Souris"
,4202429952.00000,340240.000000,113,112,"09010005","09","0901","090100","09010005","09010005","Deep"
,2280329984.00000,352140.000000,114,113,"17080003","17","1708","170800","17080003","17080003","Lower Columbia-Clatskanie"
,352352000.000000,169135.000000,115,2164,"17100201","17","1710","171002","17100201","17100201","Necanicum"
,5836839936.00000,583329.000000,116,114,"09010003","09","0901","090100","09010003","09010003","Lower Souris"
,2887170048.00000,455706.000000,117,115,"01020002","01","0102","010200","01020002","01020002","East Branch Penobscot"
,4990949888.00000,499593.000000,118,116,"10030205","10","1003","100302","10030205","10030205","Teton"
,3910390016.00000,379234.000000,119,117,"01020003","01","0102","010200","01020003","01020003","Mattawamkeag"
,4701120000.00000,349305.000000,120,118,"09010004","09","0901","090100","09010004","09010004","Willow"
,770428992.000000,160681.000000,121,119,"17010302","17","1701","170103","17010302","17010302","South Fork Coeur D'alene"
,5206940160.00000,544378.000000,122,120,"09020313","09","0902","090203","09020313","09020313","Pembina"
,9484019712.00000,531131.000000,123,121,"09020201","09","0902","090202","09020201","09020201","Devils Lake"
,3201920000.00000,575951.000000,124,122,"09020311","09","0902","090203","09020311","09020311","Lower Red"
,2436019968.00000,272677.000000,125,123,"09020312","09","0902","090203","09020312","09020312","Two Rivers"
,3105710080.00000,345280.000000,126,124,"09020314","09","0902","090203","09020314","09020314","Roseau"
,5196340224.00000,452142.000000,127,125,"10060001","10","1006","100600","10060001","10060001","Prarie Elk-Wolf"
,5102550016.00000,470822.000000,128,126,"10030104","10","1003","100301","10030104","10030104","Sun"
,4498590208.00000,398320.000000,129,127,"10050014","10","1005","100500","10050014","10050014","Beaver"
,2440659968.00000,253410.000000,130,128,"10110102","10","1011","101101","10110102","10110102","Little Muddy"
,5305569792.00000,486203.000000,131,129,"17020016","17","1702","170200","17020016","17020016","Upper Columbia-Priest Rapids"
,1835490048.00000,325869.000000,132,130,"10050009","10","1005","100500","10050009","10050009","Peoples"
,17287299072.0000,829010.000000,133,131,"10110101","10","1011","101101","10110101","10110101","Lake Sakakawea"
,4807669760.00000,421995.000000,134,132,"17010304","17","1701","170103","17010304","17010304","St. Joe"
,5528010240.00000,575185.000000,135,133,"01020001","01","0102","010200","01020001","01020001","West Branch Penobscot"
,4973109760.00000,459733.000000,136,134,"10040101","10","1004","100401","10040101","10040101","Bullwhacker-Dog"
,2558119936.00000,521729.000000,137,135,"01050001","01","0105","010500","01050001","01050001","St. Croix"
,5130149888.00000,470938.000000,138,136,"17010204","17","1701","170102","17010204","17010204","Middle Clark Fork"
,7596029952.00000,452499.000000,139,137,"17030003","17","1703","170300","17030003","17030003","Lower Yakima, Washington"
,793480000.000000,141472.000000,140,138,"09030008","09","0903","090300","09030008","09030008","Lower Rainy"
,3480339968.00000,353256.000000,141,139,"17070106","17","1707","170701","17070106","17070106","Klickitat"
,13737400320.0000,1093150.000000,142,140,"10040104","10","1004","100401","10040104","10040104","Fort Peck Reservoir"
,2222970112.00000,226806.000000,143,2165,"17100202","17","1710","171002","17100202","17100202","Nehalem"
,2770840064.00000,324483.000000,144,141,"17080002","17","1708","170800","17080002","17080002","Lewis"
,2756920064.00000,239663.000000,145,142,"09020310","09","0902","090203","09020310","09020310","Park"
,1255660032.00000,274402.000000,146,143,"09030004","09","0903","090300","09030004","09030004","Upper Rainy"
,2212169984.00000,229820.000000,147,144,"09030007","09","0903","090300","09030007","09030007","Rapid"
,6969099776.00000,789360.000000,148,145,"10030102","10","1003","100301","10030102","10030102","Upper Missouri-Dearborn"
,2343490048.00000,265890.000000,149,147,"09030003","09","0903","090300","09030003","09030003","Rainy Lake"
,6128799744.00000,728894.000000,150,148,"01020005","01","0102","010200","01020005","01020005","Lower Penobscot"
,1064760000.00000,224580.000000,151,149,"17090012","17","1709","170900","17090012","17090012","Lower Willamette"
,5590490112.00000,474198.000000,152,150,"17070105","17","1707","170701","17070105","17070105","Middle Columbia-Hood"
,4761119744.00000,439891.000000,153,151,"09030005","09","0903","090300","09030005","09030005","Little Fork"
,3081459968.00000,332732.000000,154,152,"10060005","10","1006","100600","10060005","10060005","Charlie-Little Muddy"
,2976760064.00000,268039.000000,155,153,"17060308","17","1706","170603","17060308","17060308","Lower North Fork Clearwater"
,3824819968.00000,334949.000000,156,155,"17060107","17","1706","170601","17060107","17060107","Lower Snake-Tucannon"
,6052420096.00000,466428.000000,157,156,"17010203","17","1701","170102","17010203","17010203","Blackfoot"
,2500250112.00000,265293.000000,158,157,"09020309","09","0902","090203","09020309","09020309","Snake"
,2595559936.00000,231824.000000,159,158,"09020304","09","0902","090203","09020304","09020304","Thief"
,3136140032.00000,280160.000000,160,159,"10040102","10","1004","100401","10040102","10040102","Arrow"
,5260179968.00000,388325.000000,161,160,"09030006","09","0903","090300","09030006","09030006","Big Fork"
,1882130048.00000,235810.000000,162,161,"17060110","17","1706","170601","17060110","17060110","Lower Snake"
,2475630080.00000,286326.000000,163,162,"17100203","17","1710","171002","17100203","17100203","Wilson-Trusk-Nestuccu"
,2286820096.00000,278221.000000,164,163,"09020308","09","0902","090203","09020308","09020308","Forest"
,44014600192.0000,2008040.000000,165,164,"04020300","04","0402","040203","04020300","04020300","Lake Superior"
,1849309952.00000,229721.000000,166,165,"17090010","17","1709","170900","17090010","17090010","Tualatin"
,6066290176.00000,460192.000000,167,166,"17060306","17","1706","170603","17060306","17060306","Clearwater"
,1162780032.00000,243093.000000,168,167,"09020306","09","0902","090203","09020306","09020306","Grand Marais-Red"
,2857870080.00000,309459.000000,169,168,"17080001","17","1708","170800","17080001","17080001","Lower Columbia-Sandy"
,4117289984.00000,410610.000000,170,169,"01030001","01","0103","010300","01030001","01030001","Upper Kennebec"
,2076640000.00000,251141.000000,171,170,"10030105","10","1003","100301","10030105","10030105","Belt"
,6489909760.00000,590404.000000,172,171,"09030001","09","0903","090300","09030001","09030001","Rainy Headwaters"
,7164709888.00000,453603.000000,173,172,"10040103","10","1004","100401","10040103","10040103","Judith"
,2742200064.00000,361208.000000,174,173,"09030002","09","0903","090300","09030002","09030002","Vermilion"
,3340689920.00000,281577.000000,175,174,"17060307","17","1706","170603","17060307","17060307","Upper North Fork Clearwater"
,5480549888.00000,420437.000000,176,175,"10060002","10","1006","100600","10060002","10060002","Redwater"
,5226749952.00000,313551.000000,177,176,"09020302","09","0902","090203","09020302","09020302","Red Lakes"
,4558119936.00000,323867.000000,178,177,"17070102","17","1707","170701","17070102","17070102","Walla Walla"
,1780600064.00000,285712.000000,179,178,"09020307","09","0902","090203","09020307","09020307","Turtle"
,4995060224.00000,569141.000000,180,179,"09020202","09","0902","090202","09020202","09020202","Upper Sheyenne"
,3729570048.00000,337230.000000,181,180,"01020004","01","0102","010200","01020004","01020004","Piscataquis"
,6639969792.00000,598622.000000,182,181,"17070101","17","1707","170701","17070101","17070101","Middle Columbia-Lake Wallula"
