"FID_","ObjectID","NAME","STATE_NAME","STATE_FIPS","CNTY_FIPS","FIPS","POP2000","POP2005","POP00_SQMI","POP05_SQMI","WHITE","BLACK","AMERI_ES","ASIAN","HAWN_PI","OTHER","MULT_RACE","HISPANIC","MALES","FEMALES","AGE_UNDER5","AGE_5_17","AGE_18_21","AGE_22_29","AGE_30_39","AGE_40_49","AGE_50_64","AGE_65_UP","MED_AGE","MED_AGE_M","MED_AGE_F","HOUSEHOLDS","AVE_HH_SZ","HSEHLD_1_M","HSEHLD_1_F","MARHH_CHD","MARHH_NO_C","MHH_CHILD","FHH_CHILD","FAMILIES","AVE_FAM_SZ","HSE_UNITS","VACANT","OWNER_OCC","RENTER_OCC","NO_FARMS97","AVG_SIZE97","CROP_ACR97","AVG_SALE97","SQMI"
,0,"Lake of the Woods","Minnesota","27","077","27077",4522,4489,2.500000,2.500000,4396,13,51,11,0,5,46,29,2272,2250,188,930,149,282,588,770,835,780,41.600000,41.600000,41.600000,1903,2.350000,305,260,448,645,46,62,1267,2.930000,3238,1335,1623,280,196.000000,600.000000,78126.000000,39.889999,1775.300000
,1,"Ferry","Washington","53","019","53019",7260,7347,3.200000,3.299999,5480,15,1327,21,4,162,251,205,3764,3496,394,1557,361,506,815,1238,1474,915,40.000000,39.800000,40.100000,2823,2.490000,387,314,557,988,90,202,1988,2.950000,3775,952,2060,763,179.000000,4524.000000,22447.000000,28.010000,2257.300000
,2,"Stevens","Washington","53","065","53065",40066,41007,15.800000,16.100000,36078,111,2266,193,66,271,1081,739,19940,20126,2425,9072,1668,2536,4826,6926,7453,5160,39.200000,38.700000,39.700000,15017,2.640000,1584,1722,3840,5224,431,890,11018,3.080000,17599,2582,11734,3283,989.000000,531.000000,123434.000000,23.069999,2540.700000
,3,"Okanogan","Washington","53","047","53047",39564,39942,7.400000,7.500000,29799,109,4537,176,28,3791,1124,5688,19706,19858,2493,8453,1817,3212,4796,6325,6911,5557,38.200000,37.500000,38.800000,15027,2.580000,1757,1921,3334,4846,487,1166,10585,3.040000,19085,4058,10312,4715,1270.000000,928.000000,142145.000000,105.129997,5315.000000
,4,"Pend Oreille","Washington","53","051","53051",11732,12255,8.200000,8.600000,10973,17,338,74,24,67,239,241,5881,5851,637,2447,451,616,1380,2021,2430,1750,41.900000,42.100000,41.700000,4639,2.510000,622,536,970,1696,136,267,3260,2.980000,6608,1969,3590,1049,225.000000,281.000000,26763.000000,12.789999,1425.300000
,5,"Boundary","Idaho","16","021","16021",9871,9933,7.700000,7.800000,9401,16,199,57,7,85,106,335,4971,4900,687,2193,409,755,1132,1667,1707,1321,38.300000,37.700000,39.000000,3707,2.610000,448,409,972,1303,96,197,2698,3.070000,4095,388,2904,803,312.000000,233.000000,50657.000000,43.400001,1277.900000
,6,"Lincoln","Montana","30","053","30053",18837,19066,5.100000,5.199999,18100,21,226,59,7,74,350,271,9542,9295,937,3835,678,1078,2255,3309,3886,2859,42.100000,42.100000,42.100000,7764,2.400000,1133,939,1646,2788,207,410,5335,2.900000,9319,1555,5945,1819,252.000000,183.000000,17088.000000,14.579999,3675.100000
,7,"Flathead","Montana","30","029","30029",74471,79196,14.200000,15.100000,71689,113,856,346,44,305,1118,1061,36911,37560,4415,14872,3359,5984,9851,13475,12859,9656,39.000000,38.300000,39.600000,29588,2.480000,3452,4001,7162,9679,766,1682,20425,2.970000,34773,5185,21678,7910,898.000000,241.000000,105561.000000,29.690000,5256.500000
,8,"Glacier","Montana","30","035","30035",13247,12950,4.400000,4.300000,4693,11,8186,9,7,24,317,159,6553,6694,1075,3549,773,1140,1747,2009,1733,1221,30.600000,28.900000,32.400000,4304,3.030000,429,501,1264,1031,152,429,3246,3.560000,5243,939,2670,1634,425.000000,3818.000000,497158.000000,106.870002,3037.000000
,9,"Toole","Montana","30","101","30101",5267,5347,2.700000,2.700000,4945,8,168,16,1,17,112,61,2716,2551,282,1063,207,456,718,884,820,837,39.100000,38.500000,39.700000,1962,2.470000,269,323,510,605,42,81,1309,3.090000,2300,338,1396,566,382.000000,2856.000000,680472.000000,102.559997,1945.900000
