"FID_","ACC","FIRST_ACC","huc","basin"
,"010100","010100","010100","St. John"
,"010200","010200","010200","Penobscot"
,"010300","010300","010300","Kennebec"
,"010400","010400","010400","Androscoggin"
,"010500","010500","010500","Maine Coastal"
,"010600","010600","010600","Saco"
,"010700","010700","010700","Merrimack"
,"010801","010801","010801","Upper Connecticut"
,"010802","010802","010802","Lower Connecticut"
,"010900","010900","010900","Massachusetts-Rhode Island Coastal"
,"011000","011000","011000","Connecticut Coastal"
,"011100","011100","011100","St. Francois"
,"020100","020100","020100","Richelieu"
,"020200","020200","020200","Upper Hudson"
,"020301","020301","020301","Lower Hudson"
,"020302","020302","020302","Long Island"
,"020401","020401","020401","Upper Delaware"
,"020402","020402","020402","Lower Delaware"
,"020403","020403","020403","New Jersey Coastal"
,"020501","020501","020501","Upper Susquehanna"
,"020502","020502","020502","West Branch Susquehanna"
,"020503","020503","020503","Lower Susquehanna"
,"020600","020600","020600","Upper Chesapeake"
,"020700","020700","020700","Potomac"
,"020801","020801","020801","Lower Chesapeake"
,"020802","020802","020802","James"
,"030101","030101","030101","Roanoke"
,"030102","030102","030102","Albemarle-Chowan"
,"030201","030201","030201","Pamlico"
,"030202","030202","030202","Neuse"
,"030300","030300","030300","Cape Fear"
,"030401","030401","030401","Upper Pee Dee"
,"030402","030402","030402","Lower Pee Dee"
,"030501","030501","030501","Santee"
,"030502","030502","030502","Edisto-South Carolina Coastal"
,"030601","030601","030601","Savannah"
,"030602","030602","030602","Ogeechee"
,"030701","030701","030701","Altamaha"
,"030702","030702","030702","St. Marys - Satilla"
,"030801","030801","030801","St. Johns"
,"030802","030802","030802","East Florida Coastal"
,"030901","030901","030901","Kissimmee"
,"030902","030902","030902","Southern Florida"
,"031001","031001","031001","Peace"
,"031002","031002","031002","Tampa Bay"
,"031101","031101","031101","Aucilla-Waccasassa"
,"031102","031102","031102","Suwannee"
,"031200","031200","031200","Ochlockonee. Georgia"
,"031300","031300","031300","Apalachicola"
,"031401","031401","031401","Florida Panhandle Coastal"
,"031402","031402","031402","Choctawhatchee"
,"031403","031403","031403","Escambia"
,"031501","031501","031501","Coosa-Tallapoosa"
,"031502","031502","031502","Alabama"
,"031601","031601","031601","Black Warrior - Tombigbee"
,"031602","031602","031602","Mobile Bay- Tombigbee"
,"031700","031700","031700","Pascagoula. Mississippi"
,"031800","031800","031800","Pearl"
,"040101","040101","040101","Northwestern Lake Superior"
,"040102","040102","040102","St. Louis"
,"040103","040103","040103","Southwestern Lake Superior"
,"040201","040201","040201","Southcentral Lake Superior"
,"040202","040202","040202","Southeastern Lake Superior"
,"040203","040203","040203","Lake Superior"
,"040301","040301","040301","Northwestern Lake Michigan"
,"040302","040302","040302","Fox"
,"040400","040400","040400","Southwestern Lake Michigan"
,"040500","040500","040500","Southeastern Lake Michigan"
,"040601","040601","040601","Northeastern Lake Michigan"
,"040602","040602","040602","Lake Michigan"
,"040700","040700","040700","Northwestern Lake Huron"
,"040801","040801","040801","Southwestern Lake Huron"
,"040802","040802","040802","Saginaw"
,"040803","040803","040803","Lake Huron"
,"040900","040900","040900","St. Clair-Detroit"
,"041000","041000","041000","Western Lake Erie"
,"041100","041100","041100","Southern Lake Erie"
,"041201","041201","041201","Eastern Lake Erie"
,"041202","041202","041202","Lake Erie"
,"041300","041300","041300","Southwestern Lake Ontario"
,"041401","041401","041401","Southeastern Lake Ontario"
,"041402","041402","041402","Oswego"
,"041501","041501","041501","Northeastern Lake Ontario"
,"041502","041502","041502","Lake Ontario"
,"041503","041503","041503","St. Lawrence"
,"050100","050100","050100","Allegheny"
,"050200","050200","050200","Monongahela"
,"050301","050301","050301","Upper Ohio-Beaver"
,"050302","050302","050302","Upper Ohio-Little Kanawha"
,"050400","050400","050400","Muskingum"
,"050500","050500","050500","Kanawha"
,"050600","050600","050600","Scioto"
,"050701","050701","050701","Guyandotte"
,"050702","050702","050702","Big Sandy"
,"050800","050800","050800","Great Miami"
,"050901","050901","050901","Middle Ohio-Raccoon"
,"050902","050902","050902","Middle Ohio-Little Miami"
,"051001","051001","051001","Licking"
